recomiendo,recomendacion
restrigen,restringido
restringe,restringido
restricción,restringido
restriccion,restringido
restricciones,restringido
restringido,restringido
restablecen,restablecer
restablece,restablecer
restablecida,restablecer
restablecimiento,restablecer
restablezcan,restablecer
retrasos,retraso
retardos,retardo
retaso,retardo
rápido,rapida
rapido,rapida
rápida,rapida
ruises,ruices
saliendo,salir
salida,salir
salids,salir
salidas,salir
samáforo,semaforo
samaforos,semaforo
semáforos,semaforo
sebuca,sebucan
srbucan,sebucan
ssa,san antonio
saa,san antonio
sectores,sector
la simon,universidad simon bolivar
usb,universidad simon bolivar
universidad simón bolívar,universidad simon bolivar
cola,trafico
tranca,trafico
transita,transitable
transit,transitable
trancado,trancada
tranca,trancada
trancamericana,trancada
trancan,trancada
trancando,trancada
trancaron,trancada
trancarse,trancada
tránsito,transito
transitando,transito
transitar,transito
transite,transito
transitando,transito
transitada,transito
tuneles,tunel
túnel,tunel
terc,tercera
tercer,tercera
tercerca,tercera
ltq,los teques
tranca,trancada
trancado,trancada
universida,universidad
universidades,universidad
ucv,universidad central
central,universidad central
ucab,universidad catolica
católica,universidad catolica
catolica,universidad catolica
veneziuela,venezuela
vzla,venezuela
venezue,venezuela
ven,venezuela
vzl,venezuela
vzlaezuela,venezuela
vuelco,volcamiento
volcado,volcamiento
volcada,volcamiento
volcad,volcamiento
volteado,volcamiento
voltear,volcamiento
voltó,volcamiento
vía,via
viaducto,via
vías,via
volúmen,volumen
